X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1748858.627,5873673.375,18,859,70326,KOHEKOHE-KARIOITAHI RD,TAURANGARURU RD,KARIOITAHI RD,12200,Yes,2009/05/31 00:00:00+00,1100,,97,19,82,3,12,2,1,0,15,1748858.627,5873673.375
1751496.789,5877321.128,19,779,70384,MARAE O REHIA RD,AWHITU RD,END,111,Yes,2006/04/19 00:00:00+00,16:00,,166,25,91,2,6,1,0,0,7,1751496.789,5877321.128
1743622.425,5891470.804,20,749,70396,MATAKAWAU RD,AWHITU RD,WIDTH CHANGE,50,Yes,2009/06/18 00:00:00+00,800,,324,0,90,2,7,1,0,0,8,1743622.425,5891470.804
1749738.404,5879930.105,21,555,70456,PARAKAU RD,AWHITU RD,END,50,Yes,2000/11/15 00:00:00+00,,,54,,81,9,3,4,3,0,10,1749738.404,5879930.105
1745461.471,5884030.857,22,495,70484,PONSFORD RD,AWHITU RD,LEES GULLY RD,119,Yes,2006/04/19 00:00:00+00,11:00,,26,9,94,1,4,0,1,0,5,1745461.471,5884030.857
1751040.455,5878105.479,23,262,70581,TAHUNA PA RD,AWHITU RD,END (GATE),50,Yes,2000/10/21 00:00:00+00,,,53,,81,9,3,4,3,0,10,1751040.455,5878105.479
1751233.322,5877640.167,24,261,70584,TAHURANGATIRA RD,AWHITU RD,END,50,Yes,2000/10/21 00:00:00+00,,,122,,81,9,3,4,3,0,10,1751233.322,5877640.167
1750646.983,5876188.073,25,1994,70585,TAURANGARURU RD,PARK RD,MCNAUGHTEN RD,1490,Yes,2011/08/11 00:00:00+00,1200,,320,42,91,3,4,1,1,0,6,1750646.983,5876188.073
1749678.21,5880717.486,26,127,70621,WAIPIPI WHARF RD,AWHITU RD (POWERPOLE LHS),FURNESS RD,100,Yes,2006/04/19 00:00:00+00,17:00,,178,26,94,2,2,2,0,0,4,1749678.21,5880717.486
1742886.786,5889506.855,27,62,70634,WEST COAST RD (AWHITU),AWHITU RD,END,100,Yes,2005/11/19 00:00:00+00,11:00,,78,24,91,2,2,2,3,0,7,1742886.786,5889506.855
1753644.59,5876171.948,28,901,70839,KING ST (WAIUKU),KITCHENER RD,KING/QUEEN RAB,87,Yes,2008/09/25 00:00:00+00,17:00,,7024,738,94,2,3,1,0,0,4,1753644.59,5876171.948
1743178.974,5898265.628,29,70,71163,WATTLE BAY RD,ORUA BAY RD (RHS),GAP RD,100,Yes,2005/11/19 00:00:00+00,12:00,,143,31,88,5,5,2,0,0,7,1743178.974,5898265.628
